"Thématiques","Critères","Accueil|https://code.gouv.fr/","À propos|https://code.gouv.fr/#/about","Mentions légales|https://code.gouv.fr/#/legal","Accessibilité|https://code.gouv.fr/#/legal","Organisations ou groupes|https://code.gouv.fr/#/groups","Dépôts|https://code.gouv.fr/#/repos","Dépendances|https://code.gouv.fr/#/deps",Chiffres|https://code.gouv.fr/#/stats,Flux RSS|https://code.gouv.fr/data/latest.xml
"1","1","c",,,,,,,,
"1","2","nc|Les `<img>` keyboard.jpg et rocks.jpg n'ont pas d'attribut `alt`",,,,,,,,
"1","3","c",,,,,,,,
"1","4","na",,,,,,,,
"1","5","na",,,,,,,,
"1","6","c",,,,,,,,
"1","7","c",,,,,,,,
"1","8","c",,,,,,,,
"1","9","c",,,,,,,,
"2","1","na",,,,,,,,
"2","2","na",,,,,,,,
"3","1","c",,,,,,,,
"3","2","c",,,,,,,,
"3","3","c",,,,,,,,
"4","1","na","na","na","na","na","na","na",na,na
"4","2","na","na","na","na","na","na","na",na,na
"4","3","na","na","na","na","na","na","na",na,na
"4","4","na","na","na","na","na","na","na",na,na
"4","5","na","na","na","na","na","na","na",na,na
"4","6","na","na","na","na","na","na","na",na,na
"4","7","na","na","na","na","na","na","na",na,na
"4","8","na","na","na","na","na","na","na",na,na
"4","9","na","na","na","na","na","na","na",na,na
"4","10","na","na","na","na","na","na","na",na,na
"4","11","na","na","na","na","na","na","na",na,na
"4","12","na","na","na","na","na","na","na",na,na
"4","13","na","na","na","na","na","na","na",na,na
"5","1","na",,,,,,,,
"5","2","na",,,,,,,,
"5","3","na",,,,,,,,
"5","4","na",,,,,,,,
"5","5","na",,,,,,,,
"5","6","na",,,,,,,,
"5","7","na",,,,,,,,
"5","8","na",,,,,,,,
"6","1","c",,,,,,,,
"6","2","c",,,,,,,,
"7","1","nc|Revoir l'interactivité de la modale",,,,,,,,
"7","2","c|Penser à enrichir l'alternative lorsque JavaScript est désactivé",,,,,,,,
"7","3","c",,,,,,,,
"7","4","nc|L'utilisateur n'est pas averti de l'ouverture de la modale",,,,,,,,
"7","5","na",,,,,,,,
"8","1","nt",,,,,,,,
"8","2","nt",,,,,,,,
"8","3","nt",,,,,,,,
"8","4","nt",,,,,,,,
"8","5","nt",,,,,,,,
"8","6","nt",,,,,,,,
"8","7","nt",,,,,,,,
"8","8","nt",,,,,,,,
"8","9","nt",,,,,,,,
"8","10","nt",,,,,,,,
"9","1","nt",,,,,,,,
"9","2","nt",,,,,,,,
"9","3","nt",,,,,,,,
"9","4","nt",,,,,,,,
"10","1","nt",,,,,,,,
"10","2","nt",,,,,,,,
"10","3","nt",,,,,,,,
"10","4","nt",,,,,,,,
"10","5","nt",,,,,,,,
"10","6","nt",,,,,,,,
"10","7","nt",,,,,,,,
"10","8","nt",,,,,,,,
"10","9","nt",,,,,,,,
"10","10","nt",,,,,,,,
"10","11","nt",,,,,,,,
"10","12","nt",,,,,,,,
"10","13","nt",,,,,,,,
"10","14","nt",,,,,,,,
"11","1","nt",,,,,,,,
"11","2","nt",,,,,,,,
"11","3","nt",,,,,,,,
"11","4","nt",,,,,,,,
"11","5","nt",,,,,,,,
"11","6","nt",,,,,,,,
"11","7","nt",,,,,,,,
"11","8","nt",,,,,,,,
"11","9","nt",,,,,,,,
"11","10","nt",,,,,,,,
"11","11","nt",,,,,,,,
"11","12","nt",,,,,,,,
"11","13","nt",,,,,,,,
"12","1","nt",,,,,,,,
"12","2","nt",,,,,,,,
"12","3","nt",,,,,,,,
"12","4","nt",,,,,,,,
"12","5","nt",,,,,,,,
"12","6","nt",,,,,,,,
"12","7","nt",,,,,,,,
"12","8","nt",,,,,,,,
"12","9","nt",,,,,,,,
"12","10","nt",,,,,,,,
"12","11","nt",,,,,,,,
"13","1","nt",,,,,,,,
"13","2","nt",,,,,,,,
"13","3","nt",,,,,,,,
"13","4","nt",,,,,,,,
"13","5","nt",,,,,,,,
"13","6","nt",,,,,,,,
"13","7","nt",,,,,,,,
"13","8","nt",,,,,,,,
"13","9","nt",,,,,,,,
"13","10","nt",,,,,,,,
"13","11","nt",,,,,,,,
"13","12","nt",,,,,,,,
